,participant,condition,list,trial_id,phase,target,foil,distractor,target_to_distractor,target_to_foil,distractor_to_target,distractor_to_foil,foil_to_target,foil_to_distractor,informative_target,informative_foil
0,P25,control,A,A10,peppa,book1,bus2,apple,0,0,0,0,0,0,False,False
0,P25,control,A,A16,start,dog1,bike2,rainbow,1,1,1,0,1,0,False,False
0,P25,control,A,A16,elmo,dog1,bike2,rainbow,1,0,1,0,0,0,False,False
0,P25,control,A,A16,500ms pause,dog1,bike2,rainbow,0,0,0,0,0,0,False,False
0,P25,control,A,A16,peppa,dog1,bike2,rainbow,0,0,0,2,0,0,False,False
0,P25,control,A,A13,start,car1,cat2,dolphin,0,1,0,1,0,1,False,False
0,P25,control,A,A13,elmo,car1,cat2,dolphin,2,0,1,0,0,0,False,False
0,P25,control,A,A13,500ms pause,car1,cat2,dolphin,0,0,0,0,0,0,False,False
0,P25,control,A,A13,peppa,car1,cat2,dolphin,0,0,0,1,2,1,False,False
0,P25,ambig,A,A5,start,shoe1,shoe2,paintbrush,1,0,0,1,1,1,False,False
0,P25,ambig,A,A5,elmo,shoe1,shoe2,paintbrush,0,1,0,0,0,0,False,False
0,P25,ambig,A,A5,500ms pause,shoe1,shoe2,paintbrush,0,0,0,0,0,0,False,False
0,P25,ambig,A,A5,peppa,shoe1,shoe2,paintbrush,0,0,0,0,0,0,False,False
0,P25,ambig,A,A1,start,fish1,fish2,playdoh,2,1,2,0,1,1,False,False
