,Condition,List,Participant,Phase,PresentationID,TrialID,target_filename,foil_filename,distractor_filename,informative_target,informative_foil,target_to_foil,target_to_distractor,target_to_White Space,foil_to_target,foil_to_distractor,foil_to_White Space,distractor_to_target,distractor_to_foil,White Space_to_target,White Space_to_foil,White Space_to_distractor,distractor_to_White Space,target_fixate_dur,foil_fixate_dur,distractor_fixate_dur
96,ambiguous,B,P10,elmo,1,B4,cup2,cup1,dress,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,633.2,0.0,300.0
97,control,B,P10,elmo,2,B10,bird2,book1,playground,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.2,0.0,0.0
98,control,B,P10,elmo,3,B15,chair2,dog1,kangaroo,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.6,400.0,0.0
99,control,B,P10,elmo,4,B13,car2,cat1,dolphin,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,333.2,633.3,0.0
100,control,B,P10,elmo,5,B16,dog2,bike1,rainbow,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.1000000000001,0.0,0.0
101,ambiguous,B,P10,elmo,6,B2,flower2,flower1,cane,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.5,699.9000000000001,0.0
102,ambiguous,B,P10,elmo,7,B6,spoon2,spoon1,comb,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,ambiguous,B,P10,elmo,8,B3,clock2,clock1,cake,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1066.5,0.0,0.0
104,ambiguous,B,P10,elmo,9,B5,shoe2,shoe1,paintbrush,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1399.8000000000002,0.0,0.0
105,control,B,P10,elmo,10,B9,bike2,bird1,candle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.7,0.0,0.0
106,ambiguous,B,P10,elmo,11,B8,tree2,flower1,pencil,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,ambiguous,B,P10,elmo,12,B7,toothbrush2,toothbrush1,door,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,control,B,P10,elmo,13,B12,bus2,car1,flashlight,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.3,0.0,0.0
109,ambiguous,B,P10,elmo,14,B1,fish2,fish1,playdoh,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.2,133.3,0.0
110,control,B,P10,elmo,15,B14,cat2,chair1,hairbrush,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
