condition,List,participant,phase,PresentationID,TrialID,target_filename,foil_filename,distractor_filename,informative_target,informative_foil,target_to_foil,target_to_distractor,target_to_White Space,foil_to_target,foil_to_distractor,foil_to_White Space,distractor_to_target,distractor_to_foil,White Space_to_target,White Space_to_foil,White Space_to_distractor,distractor_to_White Space
ambig,C,P40,elmo,5,C7,chair1,chair2,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P40,elmo,6,C11,cup1,clock2,cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P40,elmo,7,C14,spoon1,toothbrush2,comb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P40,elmo,8,C6,cat1,cat2,brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P40,elmo,9,C1,bike1,bike2,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P40,elmo,10,C8,dog1,dog2,rainbow,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P40,elmo,11,C15,toothbrush1,tree2,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P40,elmo,12,C13,shoe1,spoon2,paintbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P40,elmo,13,C12,clock1,shoe2,dress,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P40,elmo,14,C2,bird1,bird2,playground,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ambig,C,P40,elmo,15,C5,car1,car2,dolphin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P40,elmo,16,C10,flower1,cup2,cane,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P35,elmo,1,C12,clock1,shoe2,dress,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P35,elmo,2,C2,bird1,bird2,playground,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P35,elmo,3,C1,bike1,bike2,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P35,elmo,4,C14,spoon1,toothbrush2,comb,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ambig,C,P35,elmo,5,C5,car1,car2,dolphin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P35,elmo,6,C16,tree1,fish2,pencil,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ambig,C,P35,elmo,7,C8,dog1,dog2,rainbow,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P35,elmo,8,C7,chair1,chair2,kangaroo,0,0,0,1,0,0,0,0,0,0,0,0,0,1
control,C,P35,elmo,9,C15,toothbrush1,tree2,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P35,elmo,10,C6,cat1,cat2,brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P35,elmo,11,C13,shoe1,spoon2,paintbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P35,elmo,12,C10,flower1,cup2,cane,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P35,elmo,13,C9,fish1,flower2,playdoh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P35,elmo,14,C3,book1,book2,apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0
