participant,TrialID,PresentationID,List,condition,phase,target_filename,foil_filename,distractor_filename,informative_target,informative_foil,target_to_foil,target_to_distractor,target_to_White Space,foil_to_target,foil_to_distractor,foil_to_White Space,distractor_to_target,distractor_to_foil,distractor_to_White Space,White Space_to_target,White Space_to_foil,White Space_to_distractor
P38,A12,5,A,control,peppa,bus1,car2,flashlight,1,1,1,0,0,0,1,0,1,0,0,0,0,0
P38,A10,6,A,control,start,book1,bus2,apple,1,1,1,0,0,1,2,0,0,2,0,0,0,0
P38,A10,6,A,control,elmo,book1,bus2,apple,1,1,0,1,0,0,0,0,0,0,1,1,0,0
P38,A10,6,A,control,500ms,book1,bus2,apple,1,1,0,0,0,0,0,0,0,0,0,0,0,0
P38,A10,6,A,control,peppa,book1,bus2,apple,1,1,0,0,0,0,1,0,0,0,0,0,1,0
P38,A14,7,A,control,start,cat1,chair2,hairbrush,1,1,0,0,1,0,1,0,2,1,0,0,0,1
P38,A14,7,A,control,elmo,cat1,chair2,hairbrush,1,1,0,1,0,0,0,0,1,0,0,0,0,0
P38,A14,7,A,control,500ms,cat1,chair2,hairbrush,1,1,0,1,0,0,0,0,0,0,0,0,0,0
P38,A14,7,A,control,peppa,cat1,chair2,hairbrush,1,1,0,0,0,0,1,0,0,1,0,0,0,0
P38,A11,8,A,control,start,book2,bird1,playground,1,1,0,0,0,0,1,0,1,1,0,0,0,1
P38,A11,8,A,control,elmo,book2,bird1,playground,1,1,1,0,1,0,0,0,0,0,0,1,0,0
P38,A11,8,A,control,500ms,book2,bird1,playground,1,1,0,0,0,0,0,0,0,0,0,0,0,0
P38,A11,8,A,control,peppa,book2,bird1,playground,1,1,0,0,0,0,2,0,0,2,0,0,0,0
P38,A9,9,A,control,start,bike1,bird2,candle,1,1,0,1,0,1,0,0,0,1,0,0,1,0
P38,A9,9,A,control,elmo,bike1,bird2,candle,1,1,0,0,0,1,0,0,0,0,0,0,0,0
P38,A9,9,A,control,500ms,bike1,bird2,candle,1,1,0,0,1,0,0,0,0,0,0,0,1,0
P38,A9,9,A,control,peppa,bike1,bird2,candle,1,1,2,0,1,3,1,0,0,0,0,0,1,0
P38,A15,10,A,control,start,chair1,dog2,kangaroo,1,1,0,1,0,1,0,0,0,1,0,0,0,1
P38,A15,10,A,control,elmo,chair1,dog2,kangaroo,1,1,1,0,0,0,1,0,2,0,0,0,0,0
P38,A15,10,A,control,500ms,chair1,dog2,kangaroo,1,1,0,0,0,0,0,0,0,0,0,0,0,0
P38,A15,10,A,control,peppa,chair1,dog2,kangaroo,1,1,1,0,0,0,1,0,0,1,0,0,0,0
P38,A2,11,A,ambig,start,flower2,flower1,cane,1,1,0,1,0,1,0,1,0,1,0,0,1,0
