RECORDING_SESSION_LABEL	EYE_USED	IA_AVERAGE_FIX_PUPIL_SIZE	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_FIXATION_%	IA_FIXATION_COUNT	IA_LABEL	IA_ID	IA_GROUP	IA_RUN_COUNT	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	trialnum	TargetLoc	targname	IP_LABEL	IP_END_TIME	IP_START_TIME	type	cond
KidSubjExpt2-79	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	112	1	Same_Ambig_cat1.jpg	"(477, 554)"	cat1.jpg	Target	6895730	6888567	Same	Ambig
KidSubjExpt2-79	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	112	1	Same_Ambig_cat1.jpg	"(477, 554)"	cat1.jpg	Target	6895730	6888567	Same	Ambig
KidSubjExpt2-79	RIGHT	385.86	5890	0.9143	0.875	14	Pre_Targ 	1	.	2	6442	16	Same_Ambig_dog1.jpg	"(147, 90)"	dog1.jpg	Target	6916405	6907762	Same	Ambig
KidSubjExpt2-79	RIGHT	388	552	0.0857	0.125	2	Pre_D1 	2	.	1	6442	16	Same_Ambig_dog1.jpg	"(147, 90)"	dog1.jpg	Target	6916405	6907762	Same	Ambig
KidSubjExpt2-79	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	6442	16	Same_Ambig_dog1.jpg	"(147, 90)"	dog1.jpg	Target	6916405	6907762	Same	Ambig
KidSubjExpt2-79	RIGHT	500.2	1608	0.714	0.625	5	Pre_Targ 	1	.	1	2252	8	Same_Control_fish1.jpg	"(147, 90)"	fish1.jpg	Target	6932693	6929675	Same	Control
KidSubjExpt2-79	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	2252	8	Same_Control_fish1.jpg	"(147, 90)"	fish1.jpg	Target	6932693	6929675	Same	Control
KidSubjExpt2-79	RIGHT	467.67	644	0.286	0.375	3	Pre_D2 	3	.	1	2252	8	Same_Control_fish1.jpg	"(147, 90)"	fish1.jpg	Target	6932693	6929675	Same	Control
KidSubjExpt2-79	RIGHT	288.83	1930	1	1	6	Pre_Targ 	1	.	1	1930	6	Same_Ambig_chair1.jpg	"(753, 90)"	chair1.jpg	Target	6943982	6940446	Same	Ambig
KidSubjExpt2-79	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	1930	6	Same_Ambig_chair1.jpg	"(753, 90)"	chair1.jpg	Target	6943982	6940446	Same	Ambig
KidSubjExpt2-79	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	1930	6	Same_Ambig_chair1.jpg	"(753, 90)"	chair1.jpg	Target	6943982	6940446	Same	Ambig
KidSubjExpt2-79	RIGHT	431.5	3234	0.8033	0.8571	12	Pre_Targ 	1	.	1	4026	14	Same_Control_leaf1.jpg	"(477, 554)"	leaf1.jpg	Target	6957512	6950323	Same	Control
KidSubjExpt2-79	RIGHT	1108	24	0.006	0.0714	1	Pre_D1 	2	.	1	4026	14	Same_Control_leaf1.jpg	"(477, 554)"	leaf1.jpg	Target	6957512	6950323	Same	Control
KidSubjExpt2-79	RIGHT	461	768	0.1908	0.0714	1	Pre_D2 	3	.	1	4026	14	Same_Control_leaf1.jpg	"(477, 554)"	leaf1.jpg	Target	6957512	6950323	Same	Control
KidSubjExpt2-79	RIGHT	400	2174	1	1	3	Pre_Targ 	1	.	1	2174	3	Same_Ambig_book1.jpg	"(753, 90)"	book1.jpg	Target	6977200	6973275	Same	Ambig
KidSubjExpt2-79	RIGHT	.	0	0	0	0	Pre_D1 	2	.	0	2174	3	Same_Ambig_book1.jpg	"(753, 90)"	book1.jpg	Target	6977200	6973275	Same	Ambig
KidSubjExpt2-79	RIGHT	.	0	0	0	0	Pre_D2 	3	.	0	2174	3	Same_Ambig_book1.jpg	"(753, 90)"	book1.jpg	Target	6977200	6973275	Same	Ambig
KidSubjExpt2-79	RIGHT	441	2136	0.727	0.8	8	Pre_Targ 	1	.	1	2938	10	Same_Control_spoon1.jpg	"(147, 90)"	spoon1.jpg	Target	6987917	6985046	Same	Control
KidSubjExpt2-79	RIGHT	386	680	0.2314	0.1	1	Pre_D1 	2	.	1	2938	10	Same_Control_spoon1.jpg	"(147, 90)"	spoon1.jpg	Target	6987917	6985046	Same	Control
KidSubjExpt2-79	RIGHT	361	122	0.0415	0.1	1	Pre_D2 	3	.	1	2938	10	Same_Control_spoon1.jpg	"(147, 90)"	spoon1.jpg	Target	6987917	6985046	Same	Control
KidSubjExpt2-79	RIGHT	369.4	1918	0.8317	0.8333	5	Pre_Targ 	1	.	1	2306	6	Same_Ambig_bird1.jpg	"(477, 554)"	bird1.jpg	Target	7001833	6997322	Same	Ambig
